评论内容,情感倾向,sentiment
胖猫已经火化了，姐姐发的火化证，火化证显示胖猫的去世时间是4月23日，火化时间是5月3日,负面,中性
谭竹真的没有心 收人家这么多💰一点情绪价值都不给是吧 我男朋友要愿意给我1k 我都整天夸他上天[微笑],正面,负面
老子到s都谈不上的男生让她给谈s了,负面,负面
4月11人就没了，4月23才捞上来，在江里躺了12天。。。,负面,负面
一想到他在出租屋每天吃着十块钱的外卖给那女的转账几十万却被伤透跳江自尽，很难受心好痛,负面,负面
21岁，父母白养你了，50万拿来孝敬父母不好吗？非要走绝路,负面,负面
唉  如果有人劝劝你就好了  这么年轻能赚这么多。。。以后什么女的找不到,负面,负面
胖猫，下辈子好好爱自己,正面,正面
大家不要被tz误导了  和解是因为当时事发没有拿到手机看到聊天记录   手机是后来过了好多天才拿到的  试问一个正常人看到那些记录  谁还能去心平气和的去接受和解[泪][泪],正面,负面
到底想宣扬胖猫一个什么精神啊 需要心疼的只有他姐姐好吧 弟弟为了一个女孩从来没有考虑过姐姐就结束了自己的生命 两年可以给那个女孩五十一万 给姐姐买了瓶粉底液 姐姐都不舍得用 还什么纯爱 纯爱是矢志不渝 不是热脸去贴冷屁股,正面,正面
20万的车卖给政府50万[哈哈],负面,正面
纳税人的💰随便花,负面,负面
公共采购虽然便宜很多 但是也太富裕了吧,负面,正面
政府采购有协议价，比市场要便宜很多，而且没有购置税,负面,中性
佛山交警换大众ID6[doge],负面,负面
